* Currently node departure ,arrival and passing time after scheduling
* Node ID, Departure Time (sec), Arrival Time (sec), Passing Time (sec)
G127,80946,75161,0
G129,32357,34879,0
G129,38340,39559,0
G129,43320,46370,0
G129,53100,57950,0
G129,61386,66799,0
G129,77294,72499,0
G131,30420,37504,0
G131,35938,43786,0
G131,43035,52739,0
G131,50210,63694,0
G131,56535,70024,0
G131,67500,74824,0
G131,79729,0,0
G132,31870,31448,0
G132,43980,40088,0
G132,55080,50273,0
G132,0,64053,0
G132,0,71348,0
G132,0,75788,0
G101,31260,42381,0
G101,39502,53405,0
G101,45742,58901,0
G101,58180,74081,0
G101,65880,0,0
G102,29818,17275,0
G102,39785,32395,0
G102,47062,42073,0
G102,57305,49255,0
G102,76941,62653,0
G104,40470,24925,0
G104,48000,42443,0
G104,56730,51865,0
G104,63480,60643,0
G104,69480,63943,0
G104,76126,70345,0
G106,35513,25784,0
G106,40988,42820,0
G106,58226,51464,0
G106,65040,58800,0
G106,80622,67244,0
G106,0,76004,0
G108,31320,22625,0
G108,38100,37025,0
G108,42943,47931,0
G108,54840,54545,0
G108,60000,62585,0
G108,82391,70145,0
G108,0,73685,0
G110,34047,14974,0
G110,38760,24334,0
G110,49560,26854,0
G110,56050,41090,0
G110,59400,51214,0
G110,77758,55234,0
G110,0,60994,0
G110,0,64970,0
G110,0,71554,0
G110,0,82266,0
G112,3060,20171,0
G112,29160,29750,0
G112,38954,42290,0
G112,45720,46013,0
G112,51420,52957,0
G112,77220,61790,0
G112,0,73370,0
G114,4740,22526,0
G114,31143,31826,0
G114,40279,42738,0
G114,48922,52283,0
G114,57747,57746,0
G114,63060,66446,0
G114,71690,72986,0
G114,79612,86172,0
G118,6600,2973,0
G118,30720,15813,0
G118,36660,20034,0
G118,43151,32673,0
G118,51960,38133,0
G118,66337,44063,0
G118,81571,57573,0
G118,0,68013,0
G118,0,73473,0
G118,0,78033,0
G122,32621,19699,0
G122,38880,23939,0
G122,54060,30299,0
G122,57899,38879,0
G122,74880,53630,0
G122,0,61008,0
G122,0,69059,0
G124,34806,49465,0
G124,39910,58935,0
G124,56950,66255,0
G124,63720,73285,0
G124,81780,76525,0
G126,33048,19668,0
G126,44640,34347,0
G126,51723,46672,0
G126,59520,55167,0
G126,73740,63230,0
G126,0,69447,0
G126,0,75987,0
G128,29040,33347,0
G128,39240,40898,0
G128,45300,48361,0
G128,55740,56847,0
G128,60480,65127,0
G128,71450,75541,0
G128,80132,0,0
G130,33888,16430,0
G130,38598,39890,0
G130,43881,46035,0
G130,53700,53355,0
G130,58689,61730,0
G130,74243,64490,0
G130,0,68690,0
G130,0,77630,0
G201,0,0,0
