* Links in RKSI,,,,,,
* Type,ID,Node1,Node2,Ground Speed in knots,,
Taxi,Tx21,N13,N14,15,,
Taxi,Tx22,N14,N15,15,,
Taxi,Tx23,N15,N16,15,,
Taxi,Tx24,N16,N17,15,,
Taxi,Tx25,N17,N18,15,,
Taxi,Tx26,N18,N19,15,,
Taxi,Tx27,N19,N20,15,,
Taxi,Tx28,N12,15R,15,,
Taxi,Tx29,N13,N22,15,,
Taxi,Tx30,N16,N25,15,,
Taxi,Tx31,N19,N28,15,,
Taxi,Tx32,N20,33L,15,,
Taxi,Tx33,15R,N30,15,,
Taxi,Tx34,N21,N31,15,,
Taxi,Tx35,N22,N33,15,,
Taxi,Tx36,N23,N34,15,,
Taxi,Tx37,N24,N35,15,,
Taxi,Tx38,N25,N39,15,,
Taxi,Tx39,N26,N43,15,,
Taxi,Tx40,N27,N44,15,,
Taxi,Tx41,N28,N45,15,,
Taxi,Tx42,N29,N48,15,,
Taxi,Tx43,33L,N49,15,,
Taxi,Tx44,N30,N31,15,,
Taxi,Tx45,N31,N32,15,,
Taxi,Tx46,N32,N33,15,,
Taxi,Tx47,N33,N34,15,,
Taxi,Tx48,N34,N35,15,,
Taxi,Tx49,N35,N36,15,,
Taxi,Tx50,N36,N37,15,,
Taxi,Tx51,N37,N38,15,,
Taxi,Tx52,N38,N39,15,,
Taxi,Tx53,N39,N40,15,,
Taxi,Tx54,N40,N41,15,,
Taxi,Tx55,N41,N42,15,,
Taxi,Tx56,N42,N43,15,,
Taxi,Tx57,N43,N44,15,,
Taxi,Tx58,N44,N45,15,,
Taxi,Tx59,N45,N46,15,,
Taxi,Tx60,N46,N47,15,,
Taxi,Tx61,N47,N48,15,,
Taxi,Tx62,N48,N49,15,,
Taxi,Tx63,N30,N55,15,,
Taxi,Tx64,N31,N56,15,,
Taxi,Tx65,N32,N59,15,,
Taxi,Tx66,N34,N60,15,,
Taxi,Tx67,N36,N61,15,,
Taxi,Tx68,N37,N62,15,,
Taxi,Tx69,N38,N63,15,,
Taxi,Tx70,N40,N64,15,,
Taxi,Tx71,N41,N65,15,,
Taxi,Tx72,N42,N66,15,,
Taxi,Tx73,N44,N67,15,,
Taxi,Tx74,N46,N68,15,,
Taxi,Tx75,N47,N69,15,,
Taxi,Tx76,N48,N70,15,,
Taxi,Tx77,N49,N71,15,,
Taxi,Tx78,N53,N54,15,,
Taxi,Tx79,N54,N55,15,,
Taxi,Tx80,N55,N56,15,,
Taxi,Tx81,N56,N57,15,,
Taxi,Tx82,N57,N58,15,,
Taxi,Tx83,N58,N59,15,,
Taxi,Tx84,N59,N60,15,,
Taxi,Tx85,N60,N61,15,,
Taxi,Tx86,N61,N62,15,,
Taxi,Tx87,N62,N63,15,,
Taxi,Tx88,N63,N64,15,,
Taxi,Tx89,N64,N65,15,,
Taxi,Tx90,N65,N66,15,,
Taxi,Tx91,N66,N67,15,,
Taxi,Tx92,N67,N68,15,,
Taxi,Tx93,N68,N69,15,,
Taxi,Tx94,N69,N70,15,,
Taxi,Tx95,N70,N71,15,,
Taxi,Tx96,N54,N72,15,,
Taxi,Tx97,N57,N73,15,,
Taxi,Tx98,N63,N74,15,,
Taxi,Tx99,N64,N75,15,,
Taxi,Tx100,N65,N76,15,,
Taxi,Tx101,N66,N77,15,,
Taxi,Tx102,N67,N81,15,,
Taxi,Tx103,N68,N82,15,,
Taxi,Tx104,N69,N84,15,,
Taxi,Tx105,N70,N86,15,,
Taxi,Tx106,N71,N88,15,,
Taxi,Tx107,N84,N86,15,,
Taxi,Tx108,N86,N87,15,,
Taxi,Tx109,N86,N88,15,,
Taxi,Tx110,N74,N159,15,,
Taxi,Tx111,N75,N160,15,,
Taxi,Tx112,N76,N161,15,,
Taxi,Tx113,N77,N162,15,,
Taxi,Tx114,N78,N163,15,,
Taxi,Tx115,N159,N99,15,,
Taxi,Tx116,N160,N100,15,,
Taxi,Tx117,N161,N101,15,,
Taxi,Tx118,N162,N102,15,,
Taxi,Tx119,N163,N103,15,,
