* Link capacities in hour
** ID,State,Max Capacity,Comment
Tx57,DEFAULT,3, 
Tx58,DEFAULT,1, 
Tx59,DEFAULT,1, 
Tx60,DEFAULT,2, 
Tx61,DEFAULT,2, 
Tx62,DEFAULT,1, 
Tx63,DEFAULT,1, 
Tx64,DEFAULT,1, 
Tx65,DEFAULT,1, 
Tx66,DEFAULT,1, 
Tx67,DEFAULT,1, 
Tx68,DEFAULT,1, 
Tx69,DEFAULT,1, 
Tx70,DEFAULT,1, 
Tx71,DEFAULT,1, 
Tx72,DEFAULT,1, 
Tx73,DEFAULT,1, 
Tx74,DEFAULT,1, 
Tx75,DEFAULT,1, 
Tx76,DEFAULT,1, 
Tx77,DEFAULT,1, 
Tx78,DEFAULT,2, 
Tx79,DEFAULT,3, 
Tx80,DEFAULT,1, 
Tx81,DEFAULT,1, 
Tx82,DEFAULT,2, 
Tx83,DEFAULT,2, 
Tx84,DEFAULT,1, 
Tx85,DEFAULT,4, 
Tx86,DEFAULT,1, 
Tx87,DEFAULT,4, 
Tx88,DEFAULT,1, 
Tx89,DEFAULT,4, 
Tx90,DEFAULT,1, 
Tx91,DEFAULT,4, 
Tx92,DEFAULT,1, 
Tx93,DEFAULT,2, 
Tx94,DEFAULT,2, 
Tx95,DEFAULT,1, 
Tx96,DEFAULT,1, 
Tx97,DEFAULT,1, 
Tx98,DEFAULT,1, 
Tx99,DEFAULT,1, 
Tx100,DEFAULT,1, 
Tx101,DEFAULT,1, 
Tx102,DEFAULT,2, 
Tx103,DEFAULT,2, 
Tx104,DEFAULT,1, 
Tx105,DEFAULT,1, 
Tx106,DEFAULT,1, 
Tx107,DEFAULT,2, 
Tx108,DEFAULT,2, 
Tx109,DEFAULT,1, 
Tx110,DEFAULT,5, 
Tx111,DEFAULT,5, 
Tx112,DEFAULT,5, 
Tx113,DEFAULT,5, 
Tx114,DEFAULT,4, 
Tx115,DEFAULT,5, 
Tx116,DEFAULT,5, 
Tx117,DEFAULT,5, 
Tx118,DEFAULT,5, 
Tx119,DEFAULT,4, 
Tx120,DEFAULT,3, 
Tx121,DEFAULT,2, 
Tx122,DEFAULT,3, 
Tx123,DEFAULT,3, 
Tx124,DEFAULT,2, 
Tx125,DEFAULT,2, 
Tx126,DEFAULT,3, 
Tx127,DEFAULT,2, 
Tx128,DEFAULT,2, 
Tx129,DEFAULT,3, 
Tx130,DEFAULT,1, 
Tx131,DEFAULT,1, 
Tx132,DEFAULT,1, 
Tx133,DEFAULT,1, 
Tx134,DEFAULT,1, 
Tx135,DEFAULT,1, 
Tx136,DEFAULT,1, 
Tx137,DEFAULT,1, 
Tx138,DEFAULT,1, 
Tx139,DEFAULT,1, 
Tx140,DEFAULT,4, 
Tx141,DEFAULT,2, 
Tx142,DEFAULT,1, 
Tx143,DEFAULT,4, 
Tx144,DEFAULT,1, 
Tx145,DEFAULT,4, 
Tx146,DEFAULT,1, 
Tx147,DEFAULT,4, 
Tx148,DEFAULT,1, 
Tx149,DEFAULT,4, 
Tx150,DEFAULT,1, 
Tx151,DEFAULT,4, 
Tx152,DEFAULT,1, 
Tx153,DEFAULT,1, 
Tx154,DEFAULT,1, 
Tx155,DEFAULT,1, 
Tx156,DEFAULT,1, 
Tx157,DEFAULT,1, 
Tx158,DEFAULT,1, 
Tx159,DEFAULT,1, 
Tx160,DEFAULT,1, 
Tx161,DEFAULT,1, 
Tx162,DEFAULT,1, 
Tx163,DEFAULT,1, 
Tx164,DEFAULT,1, 
Tx165,DEFAULT,1, 
Tx166,DEFAULT,1, 
Tx167,DEFAULT,1, 
Tx168,DEFAULT,1, 
Tx169,DEFAULT,4, 
Tx170,DEFAULT,2, 
Tx171,DEFAULT,1, 
Tx172,DEFAULT,1, 
Tx173,DEFAULT,4, 
Tx174,DEFAULT,1, 
Tx175,DEFAULT,4, 
Tx176,DEFAULT,1, 
Tx177,DEFAULT,1, 
Tx178,DEFAULT,2, 
Tx179,DEFAULT,2, 
Tx180,DEFAULT,1, 
Tx181,DEFAULT,2, 
Tx182,DEFAULT,2, 
Tx183,DEFAULT,1, 
Tx184,DEFAULT,1, 
Tx185,DEFAULT,4, 
Tx186,DEFAULT,1, 
Tx187,DEFAULT,2, 
Tx188,DEFAULT,2, 
Tx189,DEFAULT,2, 
Tx190,DEFAULT,2, 
Tx191,DEFAULT,3, 
Tx192,DEFAULT,3, 
Tx193,DEFAULT,2, 
Tx194,DEFAULT,2, 
Tx195,DEFAULT,3, 
Tx196,DEFAULT,2, 
Tx197,DEFAULT,2, 
Tx198,DEFAULT,2, 
Tx199,DEFAULT,10, 
Tx200,DEFAULT,10, 
Rwy1,DEFAULT,3600, 
Rwy2,DEFAULT,3600, 
Rwy3,DEFAULT,3600, 
Rwy4,DEFAULT,3600, 
Rwy5,DEFAULT,3600, 
Rwy6,DEFAULT,3600, 
Rwy7,DEFAULT,3600, 
Rwy8,DEFAULT,3600, 
Rwy9,DEFAULT,3600, 
Rwy10,DEFAULT,3600, 
Rwy11,DEFAULT,3600, 
Rwy12,DEFAULT,3600, 
Rwy13,DEFAULT,3600, 
Rwy14,DEFAULT,3600, 
Rwy15,DEFAULT,3600, 
Rwy16,DEFAULT,3600, 
Rwy17,DEFAULT,3600, 
Rwy18,DEFAULT,3600, 
Rwy19,DEFAULT,3600, 
Rwy20,DEFAULT,3600, 
Rwy21,DEFAULT,3600, 
Rwy22,DEFAULT,3600, 
Rwy23,DEFAULT,3600, 
Rwy24,DEFAULT,3600, 
Rwy25,DEFAULT,3600, 
Rwy26,DEFAULT,3600, 
Rwy27,DEFAULT,3600, 
Rwy28,DEFAULT,3600, 
