* Scheduled routes in the airport surface,,,,,,,,,,,,,,
* Index,Flight ID,Address,Aircraft Type,Wake Category,State,Connection,Entry Time (seconds),Exit Time (seconds),Transit Time (seconds),Previous Link,Current Link,Next Link,Speed-Up (%),Slow-Down (%)
5,AAR987,HL7420,B744,H,DEP,N,4329,4356,27,Tx11,33R,XXXX,5,10
6,PAC717,N498MC,B744,H,DEP,N,4380,4547,167,XXXX,G644,gate113,5,10
6,PAC717,N498MC,B744,H,DEP,N,4547,4701,154,gate113,Tx4,Tx10,5,10
6,PAC717,N498MC,B744,H,DEP,N,4701,4729,28,Tx4,Tx10,Tx18,5,10
6,PAC717,N498MC,B744,H,DEP,N,4729,4753,24,Tx10,Tx18,Tx27,5,10
6,PAC717,N498MC,B744,H,DEP,N,4753,4837,84,Tx18,Tx27,Tx32,5,10
6,PAC717,N498MC,B744,H,DEP,N,4837,4866,29,Tx32,33L,XXXX,5,10
7,EZD047,RPC8987,A320,M,DEP,N,4740,4796,56,XXXX,G114,gate68,5,10
7,EZD047,RPC8987,A320,M,DEP,N,4796,4873,77,gate68,Tx114,Tx205,5,10
7,EZD047,RPC8987,A320,M,DEP,N,4873,4905,32,Tx114,Tx205,Tx206,5,10
7,EZD047,RPC8987,A320,M,DEP,N,4905,4916,11,Tx205,Tx206,Tx207,5,10
7,EZD047,RPC8987,A320,M,DEP,N,4916,4929,13,Tx206,Tx207,Tx102,5,10
7,EZD047,RPC8987,A320,M,DEP,N,4929,4953,24,Tx207,Tx102,Tx92,5,10
7,EZD047,RPC8987,A320,M,DEP,N,4953,4965,12,Tx102,Tx92,Tx93,5,10
7,EZD047,RPC8987,A320,M,DEP,N,4965,4999,34,Tx92,Tx93,Tx94,5,10
7,EZD047,RPC8987,A320,M,DEP,N,4999,5029,30,Tx93,Tx94,Tx95,5,10
7,EZD047,RPC8987,A320,M,DEP,N,5029,5041,12,Tx94,Tx95,Tx77,5,10
7,EZD047,RPC8987,A320,M,DEP,N,5041,5056,15,Tx95,Tx77,Tx43,5,10
7,EZD047,RPC8987,A320,M,DEP,N,5056,5079,23,Tx43,33L,XXXX,5,10
8,ABW492,VQBHE,B744,H,DEP,N,6000,6167,167,XXXX,G644,gate113,5,10
8,ABW492,VQBHE,B744,H,DEP,N,6167,6321,154,gate113,Tx4,Tx5,5,10
8,ABW492,VQBHE,B744,H,DEP,N,6321,6407,86,Tx4,Tx5,Tx11,5,10
8,ABW492,VQBHE,B744,H,DEP,N,6407,6434,27,Tx11,33R,XXXX,5,10
9,KAL249,HL7499,B744,H,DEP,N,6120,6403,283,XXXX,G615,gate112,5,10
9,KAL249,HL7499,B744,H,DEP,N,6403,6489,86,gate112,Tx5,Tx11,5,10
9,KAL249,HL7499,B744,H,DEP,N,6489,6516,27,Tx11,33R,XXXX,5,10
10,CES7558,B5858,B738,M,DEP,N,6600,6663,63,XXXX,G118,gate69,5,10
10,CES7558,B5858,B738,M,DEP,N,6663,6740,77,gate69,Tx114,Tx205,5,10
10,CES7558,B5858,B738,M,DEP,N,6740,6772,32,Tx114,Tx205,Tx206,5,10
10,CES7558,B5858,B738,M,DEP,N,6772,6783,11,Tx205,Tx206,Tx207,5,10
10,CES7558,B5858,B738,M,DEP,N,6783,6796,13,Tx206,Tx207,Tx102,5,10
10,CES7558,B5858,B738,M,DEP,N,6796,6820,24,Tx207,Tx102,Tx92,5,10
10,CES7558,B5858,B738,M,DEP,N,6820,6832,12,Tx102,Tx92,Tx93,5,10
10,CES7558,B5858,B738,M,DEP,N,6832,6866,34,Tx92,Tx93,Tx94,5,10
10,CES7558,B5858,B738,M,DEP,N,6866,6896,30,Tx93,Tx94,Tx95,5,10
10,CES7558,B5858,B738,M,DEP,N,6896,6908,12,Tx94,Tx95,Tx77,5,10
10,CES7558,B5858,B738,M,DEP,N,6908,6923,15,Tx95,Tx77,Tx43,5,10
10,CES7558,B5858,B738,M,DEP,N,6923,6946,23,Tx43,33L,XXXX,5,10
11,KAL595,HL7610,B748,H,DEP,N,12180,12463,283,XXXX,G615,gate112,5,10
11,KAL595,HL7610,B748,H,DEP,N,12463,12549,86,gate112,Tx5,Tx11,5,10
11,KAL595,HL7610,B748,H,DEP,N,12549,12576,27,Tx11,33R,XXXX,5,10
12,GEC8411,DALCM,MD11,H,DEP,N,12360,12643,283,XXXX,G615,gate112,5,10
12,GEC8411,DALCM,MD11,H,DEP,N,12643,12729,86,gate112,Tx5,Tx11,5,10
12,GEC8411,DALCM,MD11,H,DEP,N,12729,12756,27,Tx11,33R,XXXX,5,10
13,HKE615,BLCD,A320,M,DEP,N,15360,15401,41,XXXX,G115,gate51,5,10
13,HKE615,BLCD,A320,M,DEP,N,15401,15414,13,gate51,Tx213,Tx214,5,10
13,HKE615,BLCD,A320,M,DEP,N,15414,15426,12,Tx213,Tx214,Tx125,5,10
13,HKE615,BLCD,A320,M,DEP,N,15426,15452,26,Tx214,Tx125,Tx212,5,10
13,HKE615,BLCD,A320,M,DEP,N,15452,15479,27,Tx125,Tx212,Tx210,5,10
13,HKE615,BLCD,A320,M,DEP,N,15479,15493,14,Tx212,Tx210,Tx211,5,10
13,HKE615,BLCD,A320,M,DEP,N,15493,15510,17,Tx210,Tx211,Tx107,5,10
13,HKE615,BLCD,A320,M,DEP,N,15510,15539,29,Tx211,Tx107,Tx105,5,10
13,HKE615,BLCD,A320,M,DEP,N,15539,15554,15,Tx107,Tx105,Tx95,5,10
13,HKE615,BLCD,A320,M,DEP,N,15554,15566,12,Tx105,Tx95,Tx77,5,10
13,HKE615,BLCD,A320,M,DEP,N,15566,15581,15,Tx95,Tx77,Tx43,5,10
13,HKE615,BLCD,A320,M,DEP,N,15581,15604,23,Tx43,33L,XXXX,5,10
14,AAR198,HL7507,B763,H,DEP,N,18240,18523,283,XXXX,G615,gate112,5,10
14,AAR198,HL7507,B763,H,DEP,N,18523,18551,28,gate112,Tx10,Tx18,5,10
14,AAR198,HL7507,B763,H,DEP,N,18551,18575,24,Tx10,Tx18,Tx27,5,10
14,AAR198,HL7507,B763,H,DEP,N,18575,18659,84,Tx18,Tx27,Tx32,5,10
14,AAR198,HL7507,B763,H,DEP,N,18659,18688,29,Tx32,33L,XXXX,5,10
15,PAC225,N643GT,B763,H,DEP,N,18360,18527,167,XXXX,G644,gate113,5,10
15,PAC225,N643GT,B763,H,DEP,N,18527,18681,154,gate113,Tx4,Tx10,5,10
15,PAC225,N643GT,B763,H,DEP,N,18681,18709,28,Tx4,Tx10,Tx18,5,10
15,PAC225,N643GT,B763,H,DEP,N,18709,18733,24,Tx10,Tx18,Tx27,5,10
15,PAC225,N643GT,B763,H,DEP,N,18733,18817,84,Tx18,Tx27,Tx32,5,10
15,PAC225,N643GT,B763,H,DEP,N,18817,18846,29,Tx32,33L,XXXX,5,10
16,PAC927,N452PA,B744,H,DEP,N,19740,19907,167,XXXX,G644,gate113,5,10
16,PAC927,N452PA,B744,H,DEP,N,19907,20061,154,gate113,Tx4,Tx10,5,10
16,PAC927,N452PA,B744,H,DEP,N,20061,20089,28,Tx4,Tx10,Tx18,5,10
16,PAC927,N452PA,B744,H,DEP,N,20089,20113,24,Tx10,Tx18,Tx27,5,10
16,PAC927,N452PA,B744,H,DEP,N,20113,20197,84,Tx18,Tx27,Tx32,5,10
16,PAC927,N452PA,B744,H,DEP,N,20197,20226,29,Tx32,33L,XXXX,5,10
17,KAL1460,HL7766,B772,H,DEP,N,21180,21249,69,XXXX,G222,gate91,5,10
17,KAL1460,HL7766,B772,H,DEP,N,21249,21314,65,gate91,Tx202,Tx100,5,10
17,KAL1460,HL7766,B772,H,DEP,N,21314,21330,16,Tx202,Tx100,Tx90,5,10
17,KAL1460,HL7766,B772,H,DEP,N,21330,21342,12,Tx100,Tx90,Tx91,5,10
17,KAL1460,HL7766,B772,H,DEP,N,21342,21408,66,Tx90,Tx91,Tx92,5,10
17,KAL1460,HL7766,B772,H,DEP,N,21408,21420,12,Tx91,Tx92,Tx93,5,10
17,KAL1460,HL7766,B772,H,DEP,N,21420,21454,34,Tx92,Tx93,Tx94,5,10
