* Scheduled routes in the airport surface,,,,,,,,,,,,,,
* Index,Flight ID,Address,Aircraft Type,Wake Category,State,Connection,Entry Time (seconds),Exit Time (seconds),Transit Time (seconds),Previous Link,Current Link,Next Link,Speed-Up (%),Slow-Down (%)
0,CSN676,B2287,A321,M,DEP,N,60,148,88,XXXX,G106,gate64,5,10
0,CSN676,B2287,A321,M,DEP,N,148,180,32,gate64,Tx205,Tx206,5,10
0,CSN676,B2287,A321,M,DEP,N,180,191,11,Tx205,Tx206,Tx207,5,10
0,CSN676,B2287,A321,M,DEP,N,191,204,13,Tx206,Tx207,Tx102,5,10
0,CSN676,B2287,A321,M,DEP,N,204,228,24,Tx207,Tx102,Tx92,5,10
0,CSN676,B2287,A321,M,DEP,N,228,240,12,Tx102,Tx92,Tx93,5,10
0,CSN676,B2287,A321,M,DEP,N,240,274,34,Tx92,Tx93,Tx94,5,10
0,CSN676,B2287,A321,M,DEP,N,274,304,30,Tx93,Tx94,Tx95,5,10
0,CSN676,B2287,A321,M,DEP,N,304,316,12,Tx94,Tx95,Tx77,5,10
0,CSN676,B2287,A321,M,DEP,N,316,331,15,Tx95,Tx77,Tx43,5,10
0,CSN676,B2287,A321,M,DEP,N,331,354,23,Tx43,33L,XXXX,5,10
1,KAL857,HL8241,B737,M,DEP,N,540,608,68,XXXX,G18,gate15,5,10
1,KAL857,HL8241,B737,M,DEP,N,608,622,14,gate15,Tx210,Tx211,5,10
1,KAL857,HL8241,B737,M,DEP,N,622,639,17,Tx210,Tx211,Tx107,5,10
1,KAL857,HL8241,B737,M,DEP,N,639,668,29,Tx211,Tx107,Tx105,5,10
1,KAL857,HL8241,B737,M,DEP,N,668,683,15,Tx107,Tx105,Tx95,5,10
1,KAL857,HL8241,B737,M,DEP,N,683,695,12,Tx105,Tx95,Tx77,5,10
1,KAL857,HL8241,B737,M,DEP,N,695,710,15,Tx95,Tx77,Tx43,5,10
1,KAL857,HL8241,B737,M,DEP,N,710,733,23,Tx43,33L,XXXX,5,10
2,KAL213,HL7617,B748,H,DEP,N,780,1063,283,XXXX,G615,gate112,5,10
2,KAL213,HL7617,B748,H,DEP,N,1063,1091,28,gate112,Tx10,Tx18,5,10
2,KAL213,HL7617,B748,H,DEP,N,1091,1115,24,Tx10,Tx18,Tx27,5,10
2,KAL213,HL7617,B748,H,DEP,N,1115,1199,84,Tx18,Tx27,Tx32,5,10
2,KAL213,HL7617,B748,H,DEP,N,1199,1228,29,Tx32,33L,XXXX,5,10
3,KAL315,HL7434,B744,H,DEP,N,900,1183,283,XXXX,G615,gate112,5,10
3,KAL315,HL7434,B744,H,DEP,N,1183,1211,28,gate112,Tx10,Tx18,5,10
3,KAL315,HL7434,B744,H,DEP,N,1211,1235,24,Tx10,Tx18,Tx27,5,10
3,KAL315,HL7434,B744,H,DEP,N,1235,1319,84,Tx18,Tx27,Tx32,5,10
3,KAL315,HL7434,B744,H,DEP,N,1319,1348,29,Tx32,33L,XXXX,5,10
4,SIA603,9VSTC,A333,H,DEP,N,1080,1191,111,XXXX,G108,gate65,5,10
4,SIA603,9VSTC,A333,H,DEP,N,1191,1223,32,gate65,Tx205,Tx206,5,10
4,SIA603,9VSTC,A333,H,DEP,N,1223,1234,11,Tx205,Tx206,Tx207,5,10
4,SIA603,9VSTC,A333,H,DEP,N,1234,1247,13,Tx206,Tx207,Tx102,5,10
4,SIA603,9VSTC,A333,H,DEP,N,1247,1271,24,Tx207,Tx102,Tx92,5,10
4,SIA603,9VSTC,A333,H,DEP,N,1271,1283,12,Tx102,Tx92,Tx93,5,10
4,SIA603,9VSTC,A333,H,DEP,N,1283,1317,34,Tx92,Tx93,Tx94,5,10
4,SIA603,9VSTC,A333,H,DEP,N,1317,1347,30,Tx93,Tx94,Tx95,5,10
4,SIA603,9VSTC,A333,H,DEP,N,1347,1359,12,Tx94,Tx95,Tx77,5,10
4,SIA603,9VSTC,A333,H,DEP,N,1359,1374,15,Tx95,Tx77,Tx43,5,10
4,SIA603,9VSTC,A333,H,DEP,N,1374,1397,23,Tx43,33L,XXXX,5,10
5,AAR795,HL7417,B744,H,DEP,N,1260,1543,283,XXXX,G615,gate112,5,10
5,AAR795,HL7417,B744,H,DEP,N,1543,1571,28,gate112,Tx10,Tx18,5,10
5,AAR795,HL7417,B744,H,DEP,N,1571,1595,24,Tx10,Tx18,Tx27,5,10
5,AAR795,HL7417,B744,H,DEP,N,1595,1679,84,Tx18,Tx27,Tx32,5,10
5,AAR795,HL7417,B744,H,DEP,N,1679,1708,29,Tx32,33L,XXXX,5,10
6,KAL323,HL7600,B744,H,DEP,N,1440,1723,283,XXXX,G615,gate112,5,10
6,KAL323,HL7600,B744,H,DEP,N,1723,1751,28,gate112,Tx10,Tx18,5,10
6,KAL323,HL7600,B744,H,DEP,N,1751,1775,24,Tx10,Tx18,Tx27,5,10
6,KAL323,HL7600,B744,H,DEP,N,1775,1859,84,Tx18,Tx27,Tx32,5,10
6,KAL323,HL7600,B744,H,DEP,N,1859,1888,29,Tx32,33L,XXXX,5,10
7,AJX8480,JA605F,B763,H,DEP,N,1620,1903,283,XXXX,G615,gate112,5,10
7,AJX8480,JA605F,B763,H,DEP,N,1903,1931,28,gate112,Tx10,Tx18,5,10
7,AJX8480,JA605F,B763,H,DEP,N,1931,1955,24,Tx10,Tx18,Tx27,5,10
7,AJX8480,JA605F,B763,H,DEP,N,1955,2039,84,Tx18,Tx27,Tx32,5,10
7,AJX8480,JA605F,B763,H,DEP,N,2039,2068,29,Tx32,33L,XXXX,5,10
8,QTR859,A7BAV,B773,H,DEP,N,1800,1838,38,XXXX,G121,gate54,5,10
8,QTR859,A7BAV,B773,H,DEP,N,1838,1850,12,gate54,Tx215,Tx128,5,10
8,QTR859,A7BAV,B773,H,DEP,N,1850,1888,38,Tx215,Tx128,Tx214,5,10
8,QTR859,A7BAV,B773,H,DEP,N,1888,1900,12,Tx128,Tx214,Tx125,5,10
8,QTR859,A7BAV,B773,H,DEP,N,1900,1926,26,Tx214,Tx125,Tx212,5,10
8,QTR859,A7BAV,B773,H,DEP,N,1926,1953,27,Tx125,Tx212,Tx210,5,10
8,QTR859,A7BAV,B773,H,DEP,N,1953,1967,14,Tx212,Tx210,Tx211,5,10
8,QTR859,A7BAV,B773,H,DEP,N,1967,1984,17,Tx210,Tx211,Tx107,5,10
8,QTR859,A7BAV,B773,H,DEP,N,1984,2013,29,Tx211,Tx107,Tx105,5,10
8,QTR859,A7BAV,B773,H,DEP,N,2013,2028,15,Tx107,Tx105,Tx95,5,10
8,QTR859,A7BAV,B773,H,DEP,N,2028,2040,12,Tx105,Tx95,Tx77,5,10
