* Scheduled routes in the airport surface,,,,,,,,,,,,,,
* Index,Flight ID,Address,Aircraft Type,Wake Category,State,Connection,Entry Time (seconds),Exit Time (seconds),Transit Time (seconds),Previous Link,Current Link,Next Link,Speed-Up (%),Slow-Down (%)
0,JJA2205,HL8295,B738,M,DEP,N,300,379,79,XXXX,G128,gate73,5,10
0,JJA2205,HL8295,B738,M,DEP,N,379,456,77,gate73,Tx119,Tx114,5,10
0,JJA2205,HL8295,B738,M,DEP,N,456,533,77,Tx119,Tx114,Tx204,5,10
0,JJA2205,HL8295,B738,M,DEP,N,533,544,11,Tx114,Tx204,Tx203,5,10
0,JJA2205,HL8295,B738,M,DEP,N,544,555,11,Tx204,Tx203,Tx100,5,10
0,JJA2205,HL8295,B738,M,DEP,N,555,571,16,Tx203,Tx100,Tx89,5,10
0,JJA2205,HL8295,B738,M,DEP,N,571,637,66,Tx100,Tx89,Tx88,5,10
0,JJA2205,HL8295,B738,M,DEP,N,637,649,12,Tx89,Tx88,Tx87,5,10
0,JJA2205,HL8295,B738,M,DEP,N,649,714,65,Tx88,Tx87,Tx86,5,10
0,JJA2205,HL8295,B738,M,DEP,N,714,727,13,Tx87,Tx86,Tx85,5,10
0,JJA2205,HL8295,B738,M,DEP,N,727,793,66,Tx86,Tx85,Tx84,5,10
0,JJA2205,HL8295,B738,M,DEP,N,793,805,12,Tx85,Tx84,Tx83,5,10
0,JJA2205,HL8295,B738,M,DEP,N,805,838,33,Tx84,Tx83,Tx82,5,10
0,JJA2205,HL8295,B738,M,DEP,N,838,859,21,Tx83,Tx82,Tx81,5,10
0,JJA2205,HL8295,B738,M,DEP,N,859,869,10,Tx82,Tx81,Tx64,5,10
0,JJA2205,HL8295,B738,M,DEP,N,869,881,12,Tx81,Tx64,Tx44,5,10
0,JJA2205,HL8295,B738,M,DEP,N,881,893,12,Tx64,Tx44,Tx33,5,10
0,JJA2205,HL8295,B738,M,DEP,N,893,917,24,Tx33,15R,XXXX,5,10
1,KAL309,HL7439,B744,H,DEP,N,960,1243,283,XXXX,G615,gate112,5,10
1,KAL309,HL7439,B744,H,DEP,N,1243,1397,154,gate112,Tx4,Tx3,5,10
1,KAL309,HL7439,B744,H,DEP,N,1397,1556,159,Tx4,Tx3,Tx7,5,10
