* Node states in hour
** ID,Day,Time in hour,State
G7,1,9,VMC_NDR_3600_NAR_3600_STD_89
G7,1,10,VMC_NDR_3600_NAR_3600_STD_89
G7,1,11,VMC_NDR_3600_NAR_3600_STD_89
G7,1,12,VMC_NDR_3600_NAR_3600_STD_89
G7,1,13,VMC_NDR_3600_NAR_3600_STD_89
G7,1,14,VMC_NDR_3600_NAR_3600_STD_89
G7,1,15,VMC_NDR_3600_NAR_3600_STD_89
G7,1,16,VMC_NDR_3600_NAR_3600_STD_89
G7,1,17,VMC_NDR_3600_NAR_3600_STD_89
G7,1,18,VMC_NDR_3600_NAR_3600_STD_89
G7,1,19,VMC_NDR_3600_NAR_3600_STD_89
G7,1,20,VMC_NDR_3600_NAR_3600_STD_89
G7,1,21,VMC_NDR_3600_NAR_3600_STD_89
G7,1,22,VMC_NDR_3600_NAR_3600_STD_89
G7,1,23,VMC_NDR_3600_NAR_3600_STD_89
G8,1,0,VMC_NDR_3600_NAR_3600_STD_89
G8,1,1,VMC_NDR_3600_NAR_3600_STD_89
G8,1,2,VMC_NDR_3600_NAR_3600_STD_89
G8,1,3,VMC_NDR_3600_NAR_3600_STD_89
G8,1,4,VMC_NDR_3600_NAR_3600_STD_89
G8,1,5,VMC_NDR_3600_NAR_3600_STD_89
G8,1,6,VMC_NDR_3600_NAR_3600_STD_89
G8,1,7,VMC_NDR_3600_NAR_3600_STD_89
G8,1,8,VMC_NDR_3600_NAR_3600_STD_89
G8,1,9,VMC_NDR_3600_NAR_3600_STD_89
G8,1,10,VMC_NDR_3600_NAR_3600_STD_89
G8,1,11,VMC_NDR_3600_NAR_3600_STD_89
G8,1,12,VMC_NDR_3600_NAR_3600_STD_89
G8,1,13,VMC_NDR_3600_NAR_3600_STD_89
G8,1,14,VMC_NDR_3600_NAR_3600_STD_89
G8,1,15,VMC_NDR_3600_NAR_3600_STD_89
G8,1,16,VMC_NDR_3600_NAR_3600_STD_89
G8,1,17,VMC_NDR_3600_NAR_3600_STD_89
G8,1,18,VMC_NDR_3600_NAR_3600_STD_89
G8,1,19,VMC_NDR_3600_NAR_3600_STD_89
G8,1,20,VMC_NDR_3600_NAR_3600_STD_89
G8,1,21,VMC_NDR_3600_NAR_3600_STD_89
