* Link states in hour
** ID,Day,Time in hour,State
gate9,1,19,DEFAULT
gate9,1,20,DEFAULT
gate9,1,21,DEFAULT
gate9,1,22,DEFAULT
gate9,1,23,DEFAULT
gate10,1,0,DEFAULT
gate10,1,1,DEFAULT
gate10,1,2,DEFAULT
gate10,1,3,DEFAULT
gate10,1,4,DEFAULT
gate10,1,5,DEFAULT
gate10,1,6,DEFAULT
gate10,1,7,DEFAULT
gate10,1,8,DEFAULT
gate10,1,9,DEFAULT
gate10,1,10,DEFAULT
gate10,1,11,DEFAULT
gate10,1,12,DEFAULT
gate10,1,13,DEFAULT
gate10,1,14,DEFAULT
gate10,1,15,DEFAULT
gate10,1,16,DEFAULT
gate10,1,17,DEFAULT
gate10,1,18,DEFAULT
gate10,1,19,DEFAULT
gate10,1,20,DEFAULT
gate10,1,21,DEFAULT
gate10,1,22,DEFAULT
gate10,1,23,DEFAULT
gate11,1,0,DEFAULT
gate11,1,1,DEFAULT
gate11,1,2,DEFAULT
gate11,1,3,DEFAULT
gate11,1,4,DEFAULT
gate11,1,5,DEFAULT
gate11,1,6,DEFAULT
gate11,1,7,DEFAULT
gate11,1,8,DEFAULT
gate11,1,9,DEFAULT
gate11,1,10,DEFAULT
gate11,1,11,DEFAULT
gate11,1,12,DEFAULT
gate11,1,13,DEFAULT
gate11,1,14,DEFAULT
gate11,1,15,DEFAULT
gate11,1,16,DEFAULT
gate11,1,17,DEFAULT
gate11,1,18,DEFAULT
gate11,1,19,DEFAULT
gate11,1,20,DEFAULT
gate11,1,21,DEFAULT
gate11,1,22,DEFAULT
gate11,1,23,DEFAULT
gate12,1,0,DEFAULT
gate12,1,1,DEFAULT
gate12,1,2,DEFAULT
gate12,1,3,DEFAULT
gate12,1,4,DEFAULT
gate12,1,5,DEFAULT
gate12,1,6,DEFAULT
gate12,1,7,DEFAULT
gate12,1,8,DEFAULT
gate12,1,9,DEFAULT
gate12,1,10,DEFAULT
gate12,1,11,DEFAULT
gate12,1,12,DEFAULT
gate12,1,13,DEFAULT
gate12,1,14,DEFAULT
gate12,1,15,DEFAULT
gate12,1,16,DEFAULT
gate12,1,17,DEFAULT
gate12,1,18,DEFAULT
gate12,1,19,DEFAULT
gate12,1,20,DEFAULT
gate12,1,21,DEFAULT
gate12,1,22,DEFAULT
gate12,1,23,DEFAULT
gate13,1,0,DEFAULT
gate13,1,1,DEFAULT
gate13,1,2,DEFAULT
gate13,1,3,DEFAULT
gate13,1,4,DEFAULT
gate13,1,5,DEFAULT
gate13,1,6,DEFAULT
gate13,1,7,DEFAULT
gate13,1,8,DEFAULT
gate13,1,9,DEFAULT
gate13,1,10,DEFAULT
gate13,1,11,DEFAULT
gate13,1,12,DEFAULT
gate13,1,13,DEFAULT
gate13,1,14,DEFAULT
gate13,1,15,DEFAULT
gate13,1,16,DEFAULT
gate13,1,17,DEFAULT
gate13,1,18,DEFAULT
gate13,1,19,DEFAULT
gate13,1,20,DEFAULT
gate13,1,21,DEFAULT
gate13,1,22,DEFAULT
gate13,1,23,DEFAULT
gate14,1,0,DEFAULT
gate14,1,1,DEFAULT
gate14,1,2,DEFAULT
gate14,1,3,DEFAULT
gate14,1,4,DEFAULT
gate14,1,5,DEFAULT
gate14,1,6,DEFAULT
gate14,1,7,DEFAULT
gate14,1,8,DEFAULT
gate14,1,9,DEFAULT
gate14,1,10,DEFAULT
gate14,1,11,DEFAULT
gate14,1,12,DEFAULT
gate14,1,13,DEFAULT
gate14,1,14,DEFAULT
gate14,1,15,DEFAULT
gate14,1,16,DEFAULT
gate14,1,17,DEFAULT
gate14,1,18,DEFAULT
gate14,1,19,DEFAULT
gate14,1,20,DEFAULT
gate14,1,21,DEFAULT
gate14,1,22,DEFAULT
gate14,1,23,DEFAULT
gate15,1,0,DEFAULT
gate15,1,1,DEFAULT
gate15,1,2,DEFAULT
gate15,1,3,DEFAULT
gate15,1,4,DEFAULT
gate15,1,5,DEFAULT
gate15,1,6,DEFAULT
gate15,1,7,DEFAULT
gate15,1,8,DEFAULT
gate15,1,9,DEFAULT
gate15,1,10,DEFAULT
gate15,1,11,DEFAULT
gate15,1,12,DEFAULT
gate15,1,13,DEFAULT
gate15,1,14,DEFAULT
gate15,1,15,DEFAULT
gate15,1,16,DEFAULT
gate15,1,17,DEFAULT
gate15,1,18,DEFAULT
gate15,1,19,DEFAULT
gate15,1,20,DEFAULT
gate15,1,21,DEFAULT
gate15,1,22,DEFAULT
gate15,1,23,DEFAULT
gate16,1,0,DEFAULT
gate16,1,1,DEFAULT
gate16,1,2,DEFAULT
gate16,1,3,DEFAULT
gate16,1,4,DEFAULT
gate16,1,5,DEFAULT
gate16,1,6,DEFAULT
gate16,1,7,DEFAULT
gate16,1,8,DEFAULT
gate16,1,9,DEFAULT
gate16,1,10,DEFAULT
gate16,1,11,DEFAULT
gate16,1,12,DEFAULT
gate16,1,13,DEFAULT
gate16,1,14,DEFAULT
gate16,1,15,DEFAULT
gate16,1,16,DEFAULT
gate16,1,17,DEFAULT
gate16,1,18,DEFAULT
gate16,1,19,DEFAULT
gate16,1,20,DEFAULT
gate16,1,21,DEFAULT
gate16,1,22,DEFAULT
gate16,1,23,DEFAULT
gate17,1,0,DEFAULT
gate17,1,1,DEFAULT
gate17,1,2,DEFAULT
gate17,1,3,DEFAULT
gate17,1,4,DEFAULT
gate17,1,5,DEFAULT
gate17,1,6,DEFAULT
gate17,1,7,DEFAULT
gate17,1,8,DEFAULT
gate17,1,9,DEFAULT
gate17,1,10,DEFAULT
gate17,1,11,DEFAULT
gate17,1,12,DEFAULT
gate17,1,13,DEFAULT
gate17,1,14,DEFAULT
gate17,1,15,DEFAULT
gate17,1,16,DEFAULT
gate17,1,17,DEFAULT
gate17,1,18,DEFAULT
gate17,1,19,DEFAULT
gate17,1,20,DEFAULT
gate17,1,21,DEFAULT
gate17,1,22,DEFAULT
gate17,1,23,DEFAULT
gate18,1,0,DEFAULT
gate18,1,1,DEFAULT
gate18,1,2,DEFAULT
gate18,1,3,DEFAULT
gate18,1,4,DEFAULT
gate18,1,5,DEFAULT
gate18,1,6,DEFAULT
gate18,1,7,DEFAULT
gate18,1,8,DEFAULT
gate18,1,9,DEFAULT
gate18,1,10,DEFAULT
gate18,1,11,DEFAULT
gate18,1,12,DEFAULT
gate18,1,13,DEFAULT
gate18,1,14,DEFAULT
gate18,1,15,DEFAULT
gate18,1,16,DEFAULT
gate18,1,17,DEFAULT
gate18,1,18,DEFAULT
gate18,1,19,DEFAULT
gate18,1,20,DEFAULT
gate18,1,21,DEFAULT
gate18,1,22,DEFAULT
gate18,1,23,DEFAULT
gate19,1,0,DEFAULT
gate19,1,1,DEFAULT
gate19,1,2,DEFAULT
gate19,1,3,DEFAULT
gate19,1,4,DEFAULT
gate19,1,5,DEFAULT
gate19,1,6,DEFAULT
gate19,1,7,DEFAULT
gate19,1,8,DEFAULT
gate19,1,9,DEFAULT
gate19,1,10,DEFAULT
gate19,1,11,DEFAULT
gate19,1,12,DEFAULT
gate19,1,13,DEFAULT
gate19,1,14,DEFAULT
gate19,1,15,DEFAULT
gate19,1,16,DEFAULT
gate19,1,17,DEFAULT
gate19,1,18,DEFAULT
gate19,1,19,DEFAULT
gate19,1,20,DEFAULT
gate19,1,21,DEFAULT
gate19,1,22,DEFAULT
gate19,1,23,DEFAULT
gate20,1,0,DEFAULT
gate20,1,1,DEFAULT
gate20,1,2,DEFAULT
gate20,1,3,DEFAULT
gate20,1,4,DEFAULT
gate20,1,5,DEFAULT
gate20,1,6,DEFAULT
gate20,1,7,DEFAULT
gate20,1,8,DEFAULT
gate20,1,9,DEFAULT
gate20,1,10,DEFAULT
gate20,1,11,DEFAULT
gate20,1,12,DEFAULT
gate20,1,13,DEFAULT
gate20,1,14,DEFAULT
gate20,1,15,DEFAULT
gate20,1,16,DEFAULT
gate20,1,17,DEFAULT
gate20,1,18,DEFAULT
gate20,1,19,DEFAULT
gate20,1,20,DEFAULT
gate20,1,21,DEFAULT
gate20,1,22,DEFAULT
gate20,1,23,DEFAULT
gate21,1,0,DEFAULT
gate21,1,1,DEFAULT
gate21,1,2,DEFAULT
gate21,1,3,DEFAULT
gate21,1,4,DEFAULT
gate21,1,5,DEFAULT
gate21,1,6,DEFAULT
gate21,1,7,DEFAULT
gate21,1,8,DEFAULT
gate21,1,9,DEFAULT
gate21,1,10,DEFAULT
gate21,1,11,DEFAULT
gate21,1,12,DEFAULT
gate21,1,13,DEFAULT
gate21,1,14,DEFAULT
gate21,1,15,DEFAULT
gate21,1,16,DEFAULT
gate21,1,17,DEFAULT
gate21,1,18,DEFAULT
gate21,1,19,DEFAULT
gate21,1,20,DEFAULT
gate21,1,21,DEFAULT
gate21,1,22,DEFAULT
gate21,1,23,DEFAULT
gate22,1,0,DEFAULT
gate22,1,1,DEFAULT
gate22,1,2,DEFAULT
gate22,1,3,DEFAULT
gate22,1,4,DEFAULT
gate22,1,5,DEFAULT
gate22,1,6,DEFAULT
gate22,1,7,DEFAULT
gate22,1,8,DEFAULT
gate22,1,9,DEFAULT
gate22,1,10,DEFAULT
gate22,1,11,DEFAULT
gate22,1,12,DEFAULT
gate22,1,13,DEFAULT
gate22,1,14,DEFAULT
gate22,1,15,DEFAULT
gate22,1,16,DEFAULT
gate22,1,17,DEFAULT
gate22,1,18,DEFAULT
gate22,1,19,DEFAULT
gate22,1,20,DEFAULT
gate22,1,21,DEFAULT
gate22,1,22,DEFAULT
gate22,1,23,DEFAULT
gate23,1,0,DEFAULT
gate23,1,1,DEFAULT
gate23,1,2,DEFAULT
gate23,1,3,DEFAULT
gate23,1,4,DEFAULT
gate23,1,5,DEFAULT
gate23,1,6,DEFAULT
gate23,1,7,DEFAULT
gate23,1,8,DEFAULT
gate23,1,9,DEFAULT
gate23,1,10,DEFAULT
gate23,1,11,DEFAULT
gate23,1,12,DEFAULT
gate23,1,13,DEFAULT
gate23,1,14,DEFAULT
gate23,1,15,DEFAULT
gate23,1,16,DEFAULT
gate23,1,17,DEFAULT
gate23,1,18,DEFAULT
gate23,1,19,DEFAULT
gate23,1,20,DEFAULT
gate23,1,21,DEFAULT
gate23,1,22,DEFAULT
gate23,1,23,DEFAULT
gate24,1,0,DEFAULT
gate24,1,1,DEFAULT
gate24,1,2,DEFAULT
gate24,1,3,DEFAULT
gate24,1,4,DEFAULT
gate24,1,5,DEFAULT
gate24,1,6,DEFAULT
gate24,1,7,DEFAULT
gate24,1,8,DEFAULT
gate24,1,9,DEFAULT
gate24,1,10,DEFAULT
gate24,1,11,DEFAULT
gate24,1,12,DEFAULT
gate24,1,13,DEFAULT
gate24,1,14,DEFAULT
gate24,1,15,DEFAULT
gate24,1,16,DEFAULT
gate24,1,17,DEFAULT
gate24,1,18,DEFAULT
gate24,1,19,DEFAULT
gate24,1,20,DEFAULT
gate24,1,21,DEFAULT
gate24,1,22,DEFAULT
gate24,1,23,DEFAULT
gate25,1,0,DEFAULT
